plant	abs_stom	epi_count	il	row	tray	col
O27	32	50.5	IL_9.2.5	G	L	D
S8	32.5	57	IL_1.1	H	O	C
G6	32.5	39	IL_10.2	F	E	E
S23	32.5	36.5	IL_10.2	C	O	E
R40	32.5	38.5	IL_11.4.1	J	O	B
J14	32.5	40.5	IL_12.1	D	H	C
T20	32.5	38.5	IL_12.3	J	P	C
H22	32.5	38.5	IL_12.3.1	B	G	A
Q9	32.5	36.5	IL_4.1	I	M	E
J21	32.5	46.5	IL_6.2	A	H	D
A35	32.5	43	IL_8.3.1	E	A	D
P35	32.5	40	IL_9.3.1	E	M	D
A2	33	39.5	IL_2.2	B	A	A
O5	33	44	IL_2.3	E	L	B
A34	33	41	IL_2.6.5	D	A	D
T18	33	28	IL_3.4	H	P	C
M37	33	31.5	IL_3.5	G	K	B
I27	33	45.5	IL_4.1.1	G	G	E
F28	33	38	IL_4.3	H	E	C
B28	33	42	IL_4.4	H	B	B
B18	33	40	IL_5.1	H	B	A
P33	33	46	IL_6.1	C	M	D
O7	33	38.5	IL_7.4.1	G	L	B
F2	33	40.5	IL_8.2.1	B	E	A
H27	33	37.5	IL_9.1.2	G	G	A
R5	33	38	IL_9.2	E	N	D
I33	33	41	IL_9.3.1	C	H	A
D26	33	37.5	cvm82	F	C	E
C38	33.5	36.5	IL_10.2	H	C	B
P8	33.5	38.5	IL_10.2.2	H	M	A
Q21	33.5	38	IL_11.3	A	N	B
B3	33.5	37	IL_12.3	C	A	E
G10	33.5	47	IL_3.5	J	E	E
O40	33.5	37.5	IL_4.4	J	L	E
P27	33.5	42	IL_5.4	G	M	C
A1	33.5	38	IL_6.3	A	A	A
T38	33.5	38	IL_7.5	H	P	E
I35	33.5	36	IL_9.2.5	E	H	A
N4	34	43	IL_10.2	D	K	C
P11	34	34.5	IL_10.2	A	M	B
R33	34	39.5	IL_2.1	C	O	B
H33	34	43.5	IL_2.6.5	C	G	B
Q2	34	42.5	IL_5.1	B	M	E
T26	34	44.5	IL_7.5.5	F	P	D
M33	34.5	40	IL_12.3.1	C	K	B
P31	34.5	45.5	IL_4.1	A	M	D
T40	34.5	42	IL_5.1	J	P	E
C30	34.5	38	IL_5.2	J	C	A
R18	34.5	48.5	IL_7.5.5	H	N	E
H6	34.5	42.5	IL_8.2	F	F	D
K22	34.5	35.5	IL_8.2.1	B	I	C
N40	34.5	52	IL_8.3	J	L	A
D27	35	43.5	IL_1.2	G	C	E
B32	35	44	IL_1.4	B	B	C
G5	35	45	IL_11.1	E	E	E
O31	35	52.5	IL_11.2	A	L	E
T33	35	44.5	IL_2.6.5	C	P	E
P9	35	36.5	IL_6.2	I	M	A
H26	35	31.5	IL_9.1.3	F	G	A
A39	35	44	cvm82	I	A	D
S20	35.5	38	IL_1.1.3	J	O	D
C16	35.5	40	IL_1.4	F	B	E
E3	35.5	36.5	IL_1.4.18	C	D	B
D19	35.5	37	IL_12.1	I	C	D
S21	35.5	49.5	IL_2.1	A	O	E
D4	35.5	47	IL_4.4	D	C	C
S22	35.5	40	IL_7.3	B	O	E
G4	35.5	32	IL_9.2.5	D	E	E
T31	35.5	45	cvm82	A	P	E
E1	36	39	IL_1.2	A	D	B
C11	36	43.5	IL_1.4.18	A	B	E
P21	36	40.5	IL_10.1.1	A	M	C
J37	36	36.5	IL_10.2	G	H	E
C19	36	45	IL_11.1	I	B	E
D32	36	45	IL_3.3	B	D	A
G2	36	42.5	IL_7.1	B	E	E
J24	36	32	IL_8.2.1	D	H	D
I13	36.5	44.5	IL_1.4.18	C	G	D
C34	36.5	40.5	IL_8.1	D	C	B
S6	36.5	46.5	IL_8.1	F	O	C
C21	37	48	IL_5.1	A	C	A
I40	37	31	IL_8.1.1	J	H	A
H30	37	47	IL_8.2.1	J	G	A
Q17	37.5	62	IL_4.2	G	N	A
F40	38	58.5	IL_1.1	J	E	D
T14	38	44.5	IL_8.1.5	D	P	C
R26	38	39	IL_8.2	F	O	A
O16	38	45	IL_9.2	F	L	C
P13	38.5	36	IL_2.4	C	M	B
J23	38.5	40	IL_8.1.5	C	H	D
O33	38.5	48	IL_8.2	C	L	E
O30	39	47	IL_3.5	J	L	D
T9	39	53.5	IL_7.4.1	I	P	B
J29	39.5	43.5	IL_3.5	I	H	D
R20	39.5	49	IL_3.5	J	N	E
N21	40.5	42	IL_12.1.1	A	K	E
B15	40.5	36.5	IL_9.2	E	B	A
H32	41	55	IL_1.1	B	G	B
H3	41.5	55	IL_10.2.2	C	F	D
R11	41.5	43.5	IL_8.2.1	A	N	E
I22	42	61	IL_11.4	B	G	E
O17	42	36	IL_8.1.5	G	L	C
F10	42	40	IL_9.2.5	J	E	A
T32	42.5	52	IL_3.5	B	P	E
I29	42.5	48	IL_9.2	I	G	E
O12	44	50.5	IL_12.3.1	B	L	C
I11	46.5	71	IL_4.1	A	G	D
S31	46.5	53	IL_8.2	A	P	A
O2	47	46	IL_8.2.1	B	L	B
I21	48	58	IL_7.2	A	G	E
S14	52.5	70.5	IL_1.1.2	D	O	D
